alacritty 0.16.1-1
amd-ucode 20260309-1
android-tools 35.0.2-24
ascii 3.32-1
autoconf 2.73-1
autogen 5.18.16-6
automake 1.18.1-1
base 3-3
base-devel 1-2
bash-completion 2.17.0-3
bluez 5.82-1
bluez-utils 5.82-1
boost 1.90.0-4
boost-libs 1.90.0-4
btop 1.4.6-2
btrfs-progs 6.19.1-1
cargo-hack 0.6.44-2
cliphist 1:0.7.0-2
clipnotify 1.0.2-3
cmake 4.3.1-1
cosmic-launcher 1:1.0.8-1
cosmic-terminal 1:1.0.8-1
cosmic-wallpapers 2:1.0.8-1
cronie 1.7.2-2
discord 1:0.0.130-1
dolphin 25.12.3-1
dosfstools 4.2-5
dunst 1.13.2-1
easyeffects 8.1.7-1
efibootmgr 18-3
gamescope 3.16.22-1
gdb 17.1-2
git 2.53.0-1
git-absorb 0.9.0-2
github-cli 2.89.0-1
gnupg 2.4.9-1
go 2:1.26.1-1
grim 1.5.0-2
gst-plugin-pipewire 1:1.6.2-1
gvfs-mtp 1.58.3-1
helix 25.07.1-1
htop 3.4.1-1
hypridle 0.1.7-7
hyprland 0.54.3-1
hyprlauncher 0.1.5-2
hyprlock 0.9.3-1
hyprpaper 0.8.3-3
hyprpolkitagent 0.1.3-5
intel-media-driver 25.4.6-1
iwd 3.12-1
just 1.48.1-1
keepassxc 2.7.12-2
konsole 25.12.3-1
lazygit 0.60.0-1
libpulse 17.0+r98+gb096704c0-1
libva-intel-driver 2.4.1-6
linux 6.19.10.arch1-1
linux-firmware 20260309-1
lldb 22.1.2-1
lvm2 2.03.39-1
man-db 2.13.1-1
nano 8.7.1-1
network-manager-applet 1.36.0-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
npm 11.12.1-1
ntfs-3g 2022.10.3-2
nvm 0.40.4-1
nwg-menu 0.1.9-3
opensc 0.26.1-1
openssh 10.2p1-2
pacman-contrib 1.13.1-1
pamixer 1.6-3
pcsc-tools 1.7.4-1
pd 0.56.2-1
perl-image-exiftool 13.50-1
pipewire 1:1.6.2-1
pipewire-alsa 1:1.6.2-1
pipewire-jack 1:1.6.2-1
pipewire-pulse 1:1.6.2-1
pkcs11-provider 1.2.0-1
polkit-kde-agent 6.6.3-1
python-pip 26.0.1-1
python-pipx 1.11.0-1
qt5-wayland 5.15.18+kde+r55-1
qt6-wayland 6.11.0-1
rofi 2.0.0-1
ruff 0.15.8-1
rustup 1.29.0-2
sddm 0.21.0-6
signal-desktop 8.4.1-1
slurp 1.5.0-1
smartmontools 7.5-1
sudo 1.9.17.p2-2
swayidle 1.9.0-1
systemd-resolvconf 260.1-1
tailscale 1.96.4-1
telegram-desktop 6.6.4-7
timeshift 25.12.4-1
tmux 3.6_a-1
tor 0.4.9.6-1
ttf-firacode-nerd 3.4.0-2
ttf-jetbrains-mono-nerd 3.4.0-2
typos 1.44.0-1
unzip 6.0-23
uv 0.11.2-1
uwsm 0.26.4-1
veracrypt 1.26.24-2
vim 9.2.0204-2
virtualbox 7.2.6-4
vlc 3.0.22-2
vulkan-intel 1:26.0.3-1
vulkan-nouveau 1:26.0.3-1
vulkan-radeon 1:26.0.3-1
waybar 0.15.0-2
weston 14.0.2-3
wget 1.25.0-3
wireguard-tools 1.0.20260223-1
wireless_tools 30.pre9-5
wireplumber 0.5.14-1
wl-clipboard 1:2.3.0-1
xclip 0.13-6
xdg-desktop-portal-hyprland 1.3.11-3
xdg-utils 1.2.1-2
xf86-video-amdgpu 25.0.0-1
xf86-video-ati 1:22.0.0-2
xf86-video-nouveau 1.0.18-1
xorg-server 21.1.21-1
xorg-xinit 1.4.4-1
yubikey-full-disk-encryption r155.dcaac00-2
yubikey-manager 1:5.9.0-1
yubikey-personalization-gui 3.1.25-3
yubikey-touch-detector 1.13.0-2
zram-generator 1.2.1-1
zsh 5.9-5
zsh-autocomplete 25.03.19-1
